placename,oc_lat,oc_lng,oc_formatted
"Norgesvej 2, 6100 Haderslev",55.261645,9.473624,"Norgesvej 2, 6100 Haderslev, Denmark"
"Skovglimt 6, 6340 Kruså",54.849219,9.400112,"Skovglimt 6, 6340 Kruså, Denmark"
"Aabenraavej 41, 6240 Løgumkloster",55.056525,8.967642,"Aabenraavej 41, 6240 Løgumkloster, Denmark"
"Ingolf Nielsens vej 14, 6400 Sønderborg",54.929724,9.79066,"Ingolf Nielsens Vej 14, 6400 Sønderborg, Denmark"
"Højskolevej 1, 6360 Tinglev",54.934326,9.24058,"Højskolevej 1, 6360 Tinglev, Denmark"
"Ærøvej 2, 6520 Toftlund",55.191387,9.080218,"Ærøvej 2, 6520 Toftlund, Denmark"
"Nordre Industrivej 5A, 6270 Tønder",54.950473,8.866567,"Nordre Industrivej 5A, 6270 Tønder, Denmark"
"Tingvejen 30B, 6500 Vojens",55.237724,9.272981,"Tingvejen 30B, 6500 Vojens, Denmark"
"Køgevej 2B, 4640 Faxe",55.256048,12.097567,"Køgevej 2B, 4640 Faxe, Denmark"
"Lunikvej 4, 2670 Greve",55.604824,12.295785,"Lunikvej 4, 2670 Greve, Denmark"
"Grønlandsgade 10, 4690 Haslev",55.3305,11.938712,"Grønlandsgade 10, 4690 Haslev, Denmark"
"Horseager 5, 4330 Hvalsø",55.59392,11.8558,"Horseager 5, 4330 Hvalsø, Denmark"
"Industrivej 24, 4652 Hårlev",55.346464,12.22779,"Industrivej 24, 4652 Hårlev, Denmark"
"Rødbyvej 4, 4930 Maribo",54.775133,11.485225,"Rødbyvej 4, 4930 Maribo, Denmark"
"Maribovej 31, 4900 Nakskov",54.831862,11.151771,"Maribovej 31, 4900 Nakskov, Denmark"
"Kringelborg Allé 2, 4800 Nykøbing Falster",54.759162,11.894274,"Kringelborg Alle 2, 4800 Nykøbing, Denmark"
"Rigavej 4, 4840 Nørre Alslev",54.899786,11.91577,"Rigavej 4, 4840 Nørre, Denmark"
"Lindevej 17A, 4720 Præstø",55.119701,12.04222,"Lindevej 17A, 4720 Præstø, Denmark"
"Industriparken 15, 4100 Ringsted",55.430088,11.791492,"Industriparken 15, 4100 Ringsted, Denmark"
"Snedkervej 7, 4990 Sakskøbing",54.797378,11.61236,"Snedkervej 7, 4990 Sakskøbing, Denmark"
"Pilevej 5, 4780 Stege",54.994069,12.288132,"Pilevej 5, 4780 Stege, Denmark"
"Nørregade 20, 4660 Store Heddinge",55.314482,12.389683,"Nørregade 20, 4660 Store, Denmark"
"Kildemarksvej 2, 4760 Vordingborg",55.015137,11.921054,"Kildemarksvej 2, 4760 Vordingborg, Denmark"
"Nygade 15, 4550 Asnæs",55.807618,11.498115,"Nygade 15, 4550 Asnæs, Denmark"
"Kalundborgvej 15, 4460 Snertinge",55.710622,11.380403,"Dyrlægegården, Kalundborgvej 15, 4460 Snertinge, Denmark"
